SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Single	BUSCO_Single	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
08-12-12-13	84	28029825	500	4893772	593	333688.39	4	3870299	7	1714125	NA	NA	NA	NA	NA	NA	NA
08-19-02-10	109	27954941	504	5334387	670	256467.35	4	3940623	7	1701043	NA	NA	NA	NA	NA	NA	NA
08-19-02-30	84	28380212	500	4736880	679	337859.67	4	3824669	7	1818377	NA	NA	NA	NA	NA	NA	NA
08-19-02-46	138	28293459	503	4886349	1086	205025.07	4	3850134	7	1724074	NA	NA	NA	NA	NA	NA	NA
08-19-02-61	69	28346994	502	4856390	634	410826.00	4	3883983	7	1902744	NA	NA	NA	NA	NA	NA	NA
08-31-08-91	104	28388052	503	4915737	617	272962.04	4	3984685	7	1999374	NA	NA	NA	NA	NA	NA	NA
08-36-03-25	236	29012891	504	4913890	731	122935.98	4	3897805	7	1995859	NA	NA	NA	NA	NA	NA	NA
09-7500806	97	28962167	501	4918736	654	298579.04	4	3839611	7	2204816	NA	NA	NA	NA	NA	NA	NA
10-01-02-27	85	28486137	500	4840903	686	335131.02	4	4070274	7	2045604	NA	NA	NA	NA	NA	NA	NA
117535A-1.1	36	28245449	514	4823220	1206	784595.81	4	3822737	7	2036625	NA	NA	NA	NA	NA	NA	NA
12-7504462	66	28906002	503	5297540	678	437969.73	4	3953357	7	1810948	NA	NA	NA	NA	NA	NA	NA
12-7504652	108	27937544	503	4845887	601	258680.96	4	3791451	7	1774995	NA	NA	NA	NA	NA	NA	NA
12-7505054	77	28155869	501	5207719	608	365660.64	4	3645850	7	1749831	NA	NA	NA	NA	NA	NA	NA
12-7505220	164	28966239	500	4857124	720	176623.41	4	3938633	7	2040200	NA	NA	NA	NA	NA	NA	NA
12-7505446	80	28409079	506	4756507	714	355113.49	4	3950073	7	1717143	NA	NA	NA	NA	NA	NA	NA
1F1SW_F4	61	27971041	501	4567677	771	458541.66	4	3848506	7	1880157	NA	NA	NA	NA	NA	NA	NA
204NB-8	411	32274743	507	4797267	4786	78527.36	4	3650075	32	40659	NA	NA	NA	NA	NA	NA	NA
