AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	sample_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study
249	SAMD00013557	DRX013572	583	325	DRR015087	DRS013318	SAMD00013557	DRS013318	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
257	SAMD00013557	DRX013572	141	87	DRR015088	DRS013318	SAMD00013557	DRS013318	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
342	SAMD00013557	DRX013572	651	382	DRR015089	DRS013318	SAMD00013557	DRS013318	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
108	SAMD00013552	DRX013573	114	67	DRR015090	DRS013319	SAMD00013552	DRS013319	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
108	SAMD00013552	DRX013573	66	37	DRR015091	DRS013319	SAMD00013552	DRS013319	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
387	SAMD00013552	DRX013573	564	335	DRR015092	DRS013319	SAMD00013552	DRS013319	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
392	SAMD00013552	DRX013573	760	460	DRR015093	DRS013319	SAMD00013552	DRS013319	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
402	SAMD00013546	DRX013574	517	299	DRR015094	DRS013320	SAMD00013546	DRS013320	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
416	SAMD00013546	DRX013574	273	181	DRR015095	DRS013320	SAMD00013546	DRS013320	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
342	SAMD00013546	DRX013574	651	382	DRR015096	DRS013320	SAMD00013546	DRS013320	WGS	PRJDB1541	CHIBA_U	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2014-04-21	Aspergillus fumigatus var. fumigatus	ILLUMINA	2014-05-14	DRP001352
